,external_integration_scope=calendar_integration,external_integration_scope=clickup_only,external_integration_scope=email_integration,external_integration_scope=multiple_external_systems,external_integration_scope=unknown,external_integration_scope=web_research_integration
post_chat_message,0.038439064313128386,-0.00911440211068378,0.006831767061061379,0.03284387818553379,-0.0015474124203430112,-0.02849224326381421
post_reply,-0.04803581202004895,0.02248260363137486,-0.03998208283715056,-0.02621121420569259,-0.0269595784624746,0.038782154868727145
post_slack_message,-0.0037582749288274167,-0.07437247143954707,-0.004504039779202049,0.02746231948460792,0.30450846414006916,-0.011686462524495865
post_task_comment,-0.014397804423623161,0.0172485470829935,0.01376146639003178,-0.006824531536616387,0.00622900880654933,-0.02092094205370822
read_memory,0.046355813610880044,-0.09396740037483244,0.05186469181771371,0.04997678334618855,0.03788076309936368,0.03207387815510964
reflect,-0.00012946162958896152,0.000724171018097371,-0.0014553868656601156,-0.0015085839757705791,-0.00010218818795971022,0.0007724821694503547
rename_memory,-0.0006864332063150453,0.001792856519812193,-0.0007091230939297512,-0.0007933360050750967,-0.000443653064797492,-0.001037126960199683
retrieve_activity,-0.0049243386576720794,0.04724656407195565,0.015663065650878476,-0.004361167066166195,0.011753773878139888,-0.0688212175445735
retrieve_chat_messages,-0.005614799505687786,0.0010664526767888778,0.009812437072758534,0.0005425919704795395,-0.0010357844072491852,-0.0038331975240844147
retrieve_personal_priorities,0.0592854871998445,-0.026820067210502393,-0.0029552905250439365,0.09365577262328781,-0.000943241476284009,-0.04473363521610588
retrieve_tasks_by_filters,0.044307739253792035,0.02576371553178514,0.04230466984054344,0.036730268682798085,0.021198073124436053,-0.10514718552074914
search_clickup_help_center,-0.004703900878113617,-0.016347407617574056,-0.005156740396687033,0.01145324839823688,0.002478567820598277,0.01912997883248659
search_clickup_support_resources,-0.0028435543098971486,-0.013106350945374177,-0.0033501993457729657,0.013059539037740544,-0.0006037924958952296,0.013119555170408212
search_google_calendar,0.4630182280130777,-0.2328112620944598,-0.014934198108115344,0.21696449393906778,-0.003993345348523296,-0.03555031268062374
search_public_web,-0.02022568638263213,-0.30617312466433566,-0.021650269406824223,0.07650020612215004,0.002374430717651862,0.376822508204344
search_users_and_teams,0.013215257585575207,0.006941100134041653,0.028533682458937077,-0.005065159323684247,0.013301516132780047,-0.0320940388798116
search_workspace,0.028370112826748544,-0.08261007209565459,0.09487172612168747,0.05328342734749301,0.04373068712345053,-0.0005246602299623404
todo_write,0.06627329100565199,-0.08822064308390783,0.08175724033528416,0.062416484535266756,0.03572394540290696,-0.007342403687105193
update_chat_message,-0.0012927965607184605,0.0011625938410880132,-0.0015209155597107691,0.0007457431796600805,-0.00025089921855837464,-0.0004130199754606394
update_comment,-0.002264215570274269,0.0009350551888448712,-0.000571923601715236,-0.0015184713497729302,0.0028467371324339,0.00013385519784624533
update_document,-0.008747749827380297,-0.018971264162520457,-0.005423289105879453,-0.0002702253336587981,-0.0009132763994459313,0.03233619633254016
update_google_calendar_event,0.14721779174752184,-0.057562310702724495,-0.002928400664348161,0.02625198035259246,-0.002683603945750755,-0.009289252574473142
update_task,-0.0025552955187843995,0.024225094424937473,-0.005735050217966435,-0.008688866515691788,-0.0038760773385660566,-0.021163140653274487
view_tools_catalog,0.11340178127052511,-0.18039016717557357,0.21279718809788745,0.10562442287506288,0.05515260787068986,-0.01037389881893322
write_memory,0.02175651526731228,-0.06965553083849478,0.04203233690458411,0.04634699170683203,0.027893646101186984,0.02287369497700419
