feature,value,mean_shap,n_agents
functional_archetype=unknown,0,0.0,499
functional_archetype=unknown,1,0.0009084771889320109,1
implied_end_date=false,0,-0.001197922790246885,20
implied_end_date=false,1,0.0001200587361465842,480
implied_end_date=true,0,0.00013898742415554717,481
implied_end_date=true,1,-0.0016380308598052814,19
implied_end_date=unknown,0,0.0,499
implied_end_date=unknown,1,0.00039742703753290696,1
operational_scope=branching_workflow,0,-0.0002536410556701245,182
operational_scope=branching_workflow,1,0.0001021143759041866,318
operational_scope=multi_workflow_orchestration,0,-8.996413557428596e-06,453
operational_scope=multi_workflow_orchestration,1,0.001952471155016301,47
operational_scope=sequential_workflow,0,0.0007447420105253703,372
operational_scope=sequential_workflow,1,-0.0017262384984417553,128
operational_scope=single_action,0,0.0,495
operational_scope=single_action,1,0.00043570719946274035,5
operational_scope=unknown,0,0.0,498
operational_scope=unknown,1,0.0005179804183717352,2
output_modality=email_external_message,0,-1.4305759945406263e-05,492
output_modality=email_external_message,1,0.0025086600902955074,8
output_modality=messages,0,-0.001584135721219402,235
output_modality=messages,1,0.0017773923193983182,265
output_modality=structured_document,0,7.794996157096713e-05,431
output_modality=structured_document,1,-0.0003306686244701907,69
output_modality=task_artifact,0,0.000214069136164171,412
output_modality=task_artifact,1,-0.001157291917010377,88
output_modality=unknown,0,0.0,492
output_modality=unknown,1,0.000523684654843919,8
output_modality=visual_image,0,0.0014259867151722324,438
output_modality=visual_image,1,-0.008522287087115433,62
state_persistence=state_accumulating,0,-3.323394272401258e-05,458
state_persistence=state_accumulating,1,0.0004686058577237264,42
state_persistence=state_referencing,0,-3.890589581202744e-05,473
state_persistence=state_referencing,1,3.483911827071618e-05,27
state_persistence=stateless,0,0.0,497
state_persistence=stateless,1,-0.0015539692226851306,3
state_persistence=unknown,0,0.00039460218754046084,72
state_persistence=unknown,1,-6.0258330403246996e-05,428
team_orientation=individual,0,0.001011058395129457,21
team_orientation=individual,1,-4.9111890157676714e-05,479
team_orientation=larger_team,0,0.0,495
team_orientation=larger_team,1,0.0010829517725969707,5
team_orientation=small_team,0,7.165755364432942e-06,485
team_orientation=small_team,1,0.0004408333461753576,15
team_orientation=unknown,0,0.0,499
team_orientation=unknown,1,0.0007134987180438657,1
tone_and_persona=casual_friendly,0,0.0002587949788711814,331
tone_and_persona=casual_friendly,1,-0.0004117779831611352,169
tone_and_persona=empathetic_supportive,0,-3.969284763460495e-06,446
tone_and_persona=empathetic_supportive,1,-4.775966733850656e-05,54
tone_and_persona=professional_formal,0,-0.0003765189265132734,265
tone_and_persona=professional_formal,1,0.0003169025864711551,235
tone_and_persona=technical_precise,0,3.2262025433562744e-05,465
tone_and_persona=technical_precise,1,-0.00033585738748231274,35
tone_and_persona=unknown,0,0.0,493
tone_and_persona=unknown,1,0.0009554914620350377,7
use_case_context=entertainment,0,0.0,498
use_case_context=entertainment,1,0.0003149353655715004,2
use_case_context=general_productivity,0,0.00031643427661008904,314
use_case_context=general_productivity,1,-0.0006441037708256903,186
use_case_context=personal_productivity,0,1.1391584971110678e-05,478
use_case_context=personal_productivity,1,-0.0009451181443751011,22
use_case_context=personal_use_case,0,0.0002323990261974096,430
use_case_context=personal_use_case,1,-0.0013579207965328122,70
use_case_context=specific_use_case,0,-0.0005728181281075896,281
use_case_context=specific_use_case,1,0.0005647335025181724,219
use_case_context=test_or_placeholder,0,0.0,500
use_case_context=unknown,0,0.0,499
use_case_context=unknown,1,-0.0006427869539766107,1
trigger=\N,0,0.007933637857821129,428
trigger=\N,1,-0.04580296420084007,72
trigger=assignment,0,-7.534567430836005e-05,493
trigger=assignment,1,0.004836785047302458,7
trigger=automation,0,-0.003466737876011698,455
trigger=automation,1,0.03165896793538135,45
trigger=dm,0,0.004256339962402262,360
trigger=dm,1,-0.017757344280066464,140
trigger=introduction,0,0.008304287816467243,394
trigger=introduction,1,-0.028110622268604,106
trigger=manual,0,0.0,499
trigger=manual,1,-0.002629662353429012,1
trigger=mention,0,-3.8065950745598036e-05,498
trigger=mention,1,0.002948163139267308,2
trigger=scheduled,0,-0.05576760017871251,407
trigger=scheduled,1,0.21368638974943105,93
trigger=task_comment_mention,0,-0.0002698824668649804,488
trigger=task_comment_mention,1,0.00927370313227584,12
trigger=unknown,0,0.00042083842604964265,478
trigger=unknown,1,-0.008612387337494014,22
template_is_custom,0,-0.012672972492658545,22
template_is_custom,1,0.0007051160597671257,478
template_is_templated,0,0.0,500
template=custom,0,-0.030646582805010935,22
template=custom,1,0.001693639430780752,478
template=unknown,0,0.0009671608447680441,478
template=unknown,1,-0.016821596347401532,22
add_agent_schedule,q1,-0.0006147170238513413,487
add_agent_schedule,q2,-0.0006147170238513413,487
add_agent_schedule,q3,-0.0006147170238513413,487
add_agent_schedule,q4,-6.166355596646102e-05,500
add_task_to_list,q1,1.758132282780043e-05,494
add_task_to_list,q2,1.758132282780043e-05,494
add_task_to_list,q3,1.758132282780043e-05,494
add_task_to_list,q4,2.634597085198034e-06,500
check_calendar_availability,q1,0.0,500
check_calendar_availability,q2,0.0,500
check_calendar_availability,q3,0.0,500
check_calendar_availability,q4,0.0,500
complete_execution,q1,0.0,499
complete_execution,q2,0.0,499
complete_execution,q3,0.0,499
complete_execution,q4,4.585115222835157e-06,500
create_custom_field,q1,6.397484305628786e-05,497
create_custom_field,q2,6.397484305628786e-05,497
create_custom_field,q3,6.397484305628786e-05,497
create_custom_field,q4,4.760163429581553e-05,500
create_document,q1,4.8556202053400596e-05,465
create_document,q2,4.8556202053400596e-05,465
create_document,q3,4.8556202053400596e-05,465
create_document,q4,3.42892911782171e-05,500
create_document_page,q1,-0.00021783011189019833,474
create_document_page,q2,-0.00021783011189019833,474
create_document_page,q3,-0.00021783011189019833,474
create_document_page,q4,-5.894987635201944e-05,500
create_google_calendar_event,q1,-4.2259568753423545e-05,496
create_google_calendar_event,q2,-4.2259568753423545e-05,496
create_google_calendar_event,q3,-4.2259568753423545e-05,496
create_google_calendar_event,q4,-2.881527972251888e-05,500
create_list,q1,6.98176813727311e-05,484
create_list,q2,6.98176813727311e-05,484
create_list,q3,6.98176813727311e-05,484
create_list,q4,-8.187836660019004e-05,500
create_subtask,q1,3.7937101332591596e-05,472
create_subtask,q2,3.7937101332591596e-05,472
create_subtask,q3,3.7937101332591596e-05,472
create_subtask,q4,-0.0001114819510760981,500
create_task,q1,-0.0006460703277121856,435
create_task,q2,-0.0006460703277121856,435
create_task,q3,-0.0006460703277121856,435
create_task,q4,-1.9080319828464663e-05,500
delete_memory,q1,0.0,500
delete_memory,q2,0.0,500
delete_memory,q3,0.0,500
delete_memory,q4,0.0,500
edit_image,q1,9.188240085174284e-05,484
edit_image,q2,9.188240085174284e-05,484
edit_image,q3,9.188240085174284e-05,484
edit_image,q4,-5.573873873424759e-05,500
find_similar_assets,q1,2.355226890198216e-06,499
find_similar_assets,q2,2.355226890198216e-06,499
find_similar_assets,q3,2.355226890198216e-06,499
find_similar_assets,q4,1.9012910725723486e-06,500
find_stale_tasks,q1,-0.00013034566740887486,482
find_stale_tasks,q2,-0.00013034566740887486,482
find_stale_tasks,q3,-0.00013034566740887486,482
find_stale_tasks,q4,-1.2013979140026545e-05,500
follow_up_cursor_agent,q1,0.0,500
follow_up_cursor_agent,q2,0.0,500
follow_up_cursor_agent,q3,0.0,500
follow_up_cursor_agent,q4,0.0,500
generate_image,q1,0.00046321807989598766,460
generate_image,q2,0.00046321807989598766,460
generate_image,q3,0.00046321807989598766,460
generate_image,q4,-1.7196273983541925e-05,500
generate_project_summary,q1,-0.0012938340395428813,478
generate_project_summary,q2,-0.0012938340395428813,478
generate_project_summary,q3,-0.0012938340395428813,478
generate_project_summary,q4,-0.0005555156202140369,500
generate_project_update,q1,-0.000634288959604032,482
generate_project_update,q2,-0.000634288959604032,482
generate_project_update,q3,-0.000634288959604032,482
generate_project_update,q4,-0.00019572421776756072,500
generate_stand_up,q1,-9.733812571280801e-06,492
generate_stand_up,q2,-9.733812571280801e-06,492
generate_stand_up,q3,-9.733812571280801e-06,492
generate_stand_up,q4,2.595970965903691e-06,500
get_cursor_agent,q1,0.0,500
get_cursor_agent,q2,0.0,500
get_cursor_agent,q3,0.0,500
get_cursor_agent,q4,0.0,500
gmail_create_draft,q1,0.0,497
gmail_create_draft,q2,0.0,497
gmail_create_draft,q3,0.0,497
gmail_create_draft,q4,1.669251855724724e-05,500
gmail_fetch_drafts,q1,0.0,500
gmail_fetch_drafts,q2,0.0,500
gmail_fetch_drafts,q3,0.0,500
gmail_fetch_drafts,q4,0.0,500
launch_cursor_agent,q1,0.0,500
launch_cursor_agent,q2,0.0,500
launch_cursor_agent,q3,0.0,500
launch_cursor_agent,q4,0.0,500
list_available_calendars,q1,0.0,500
list_available_calendars,q2,0.0,500
list_available_calendars,q3,0.0,500
list_available_calendars,q4,0.0,500
load_assets,q1,-0.020076234006781435,302
load_assets,q2,-0.020076234006781435,302
load_assets,q3,-0.009999941276825342,375
load_assets,q4,0.029383773247199336,125
load_custom_fields,q1,-0.002115336129133252,441
load_custom_fields,q2,-0.002115336129133252,441
load_custom_fields,q3,-0.002115336129133252,441
load_custom_fields,q4,-6.910247848836315e-05,500
load_web_pages,q1,-8.948179599309469e-05,480
load_web_pages,q2,-8.948179599309469e-05,480
load_web_pages,q3,-8.948179599309469e-05,480
load_web_pages,q4,7.26004671068381e-05,500
manage_personal_priorities,q1,-3.0327142568987133e-05,494
manage_personal_priorities,q2,-3.0327142568987133e-05,494
manage_personal_priorities,q3,-3.0327142568987133e-05,494
manage_personal_priorities,q4,-2.3420576760254332e-05,500
move_task_to_list,q1,4.735144557041475e-06,496
move_task_to_list,q2,4.735144557041475e-06,496
move_task_to_list,q3,4.735144557041475e-06,496
move_task_to_list,q4,-3.2412204327047226e-05,500
post_chat_message,q1,-0.004612378724153124,309
post_chat_message,q2,-0.004612378724153124,309
post_chat_message,q3,-0.0016642554745032495,383
post_chat_message,q4,0.009928760358000681,126
post_reply,q1,0.052261434348689004,126
post_reply,q2,0.012500651581896349,129
post_reply,q3,-0.03224070152987894,255
post_reply,q4,-0.03800878396821096,210
post_slack_message,q1,0.0,497
post_slack_message,q2,0.0,497
post_slack_message,q3,0.0,497
post_slack_message,q4,2.1148444728169134e-07,500
post_task_comment,q1,-0.004032406371755198,410
post_task_comment,q2,-0.004032406371755198,410
post_task_comment,q3,-0.004032406371755198,410
post_task_comment,q4,0.0011766440836385875,500
read_memory,q1,-0.028182925487310512,350
read_memory,q2,-0.028182925487310512,350
read_memory,q3,-0.020070376759639557,375
read_memory,q4,0.07893423097763136,125
reflect,q1,0.0,499
reflect,q2,0.0,499
reflect,q3,0.0,499
reflect,q4,6.175039512600051e-06,500
rename_memory,q1,0.0,500
rename_memory,q2,0.0,500
rename_memory,q3,0.0,500
rename_memory,q4,0.0,500
retrieve_activity,q1,-0.013500806499329913,418
retrieve_activity,q2,-0.013500806499329913,418
retrieve_activity,q3,-0.013500806499329913,418
retrieve_activity,q4,-0.0014683156248155547,500
retrieve_chat_messages,q1,-0.00015891686787347328,452
retrieve_chat_messages,q2,-0.00015891686787347328,452
retrieve_chat_messages,q3,-0.00015891686787347328,452
retrieve_chat_messages,q4,-0.00011721027918688379,500
retrieve_personal_priorities,q1,3.2672783220207746e-05,487
retrieve_personal_priorities,q2,3.2672783220207746e-05,487
retrieve_personal_priorities,q3,3.2672783220207746e-05,487
retrieve_personal_priorities,q4,6.068381536220386e-05,500
retrieve_tasks_by_filters,q1,-0.021321716501497917,320
retrieve_tasks_by_filters,q2,-0.021321716501497917,320
retrieve_tasks_by_filters,q3,-0.0133253088724583,375
retrieve_tasks_by_filters,q4,0.046267161333105586,125
search_clickup_help_center,q1,0.0,498
search_clickup_help_center,q2,0.0,498
search_clickup_help_center,q3,0.0,498
search_clickup_help_center,q4,2.7605704981087912e-05,500
search_clickup_support_resources,q1,0.0,496
search_clickup_support_resources,q2,0.0,496
search_clickup_support_resources,q3,0.0,496
search_clickup_support_resources,q4,3.988007631287473e-05,500
search_google_calendar,q1,-2.2123858834679644e-05,495
search_google_calendar,q2,-2.2123858834679644e-05,495
search_google_calendar,q3,-2.2123858834679644e-05,495
search_google_calendar,q4,-2.646159738148981e-05,500
search_public_web,q1,-0.0006038267988163126,470
search_public_web,q2,-0.0006038267988163126,470
search_public_web,q3,-0.0006038267988163126,470
search_public_web,q4,0.0004186363091694489,500
search_users_and_teams,q1,-0.00020533441945925864,492
search_users_and_teams,q2,-0.00020533441945925864,492
search_users_and_teams,q3,-0.00020533441945925864,492
search_users_and_teams,q4,1.0757292640298593e-05,500
search_workspace,q1,-0.007946617604043053,382
search_workspace,q2,-0.007946617604043053,382
search_workspace,q3,-0.007946617604043053,382
search_workspace,q4,-0.000247072246961658,500
todo_write,q1,-0.03809411373838491,214
todo_write,q2,-0.03289228902611446,252
todo_write,q3,0.013300817031943652,128
todo_write,q4,0.05565805017907281,125
update_chat_message,q1,0.0,499
update_chat_message,q2,0.0,499
update_chat_message,q3,0.0,499
update_chat_message,q4,-1.875000074505806e-08,500
update_comment,q1,-5.0623071925865444e-05,496
update_comment,q2,-5.0623071925865444e-05,496
update_comment,q3,-5.0623071925865444e-05,496
update_comment,q4,-9.559153175505347e-06,500
update_document,q1,-0.0004204203954483705,485
update_document,q2,-0.0004204203954483705,485
update_document,q3,-0.0004204203954483705,485
update_document,q4,-5.674692388472067e-05,500
update_google_calendar_event,q1,0.0,500
update_google_calendar_event,q2,0.0,500
update_google_calendar_event,q3,0.0,500
update_google_calendar_event,q4,0.0,500
update_task,q1,-0.0027249913711216303,425
update_task,q2,-0.0027249913711216303,425
update_task,q3,-0.0027249913711216303,425
update_task,q4,0.00019579154890153128,500
view_tools_catalog,q1,-0.0010438619127510985,428
view_tools_catalog,q2,-0.0010438619127510985,428
view_tools_catalog,q3,-0.0010438619127510985,428
view_tools_catalog,q4,0.00045387154830304273,500
write_memory,q1,-0.0018745970695870518,443
write_memory,q2,-0.0018745970695870518,443
write_memory,q3,-0.0018745970695870518,443
write_memory,q4,-0.0005729681566560827,500
