,trigger=\N,trigger=assignment,trigger=automation,trigger=dm,trigger=introduction,trigger=manual,trigger=mention,trigger=scheduled,trigger=task_comment_mention,trigger=unknown
get_cursor_agent,-0.0024654502186826923,0.02886891218064365,-0.0016733250574333589,-0.004080914159783932,-0.0031735093006181143,-0.00017992864875078558,-0.00040836234596664585,-0.003095425523283344,0.02197108034578529,-0.0011723314302982445
gmail_create_draft,-0.008873705606502606,-0.001578849960764297,0.0027166192140598193,-0.006995794590041187,-0.024972790749970577,0.03915485972518762,-0.0005375978769349289,0.04082106834253594,0.0025682335161471806,-0.010377966017043237
gmail_fetch_drafts,-0.003968277558228808,0.0023073374510495593,-0.005978479250831853,-0.01147733587508571,-0.013765395374243164,0.060877761752241945,-9.386818627586121e-05,0.03180130646236173,-0.0002979513966691086,-0.005240973683027956
launch_cursor_agent,-0.003318698886576201,0.049470266631994816,-0.002252433232235946,-0.00549324629459567,-0.004271804680010108,-0.00024219876830101125,-0.0005496893235196895,-0.00416669748987628,0.0213987724295834,-0.001578054581247169
list_available_calendars,-0.002445620034248912,-0.0006375691314460534,-0.0005586699116251429,0.004768665871749302,-0.003147984033769732,-0.00017848144115251678,-0.00040507779348411977,0.0012402793656637143,-0.0008337777576940717,-0.0011629020983636021
load_assets,-0.06427787484705302,0.13894936159256585,0.2929321998510762,0.0019292916769696866,-0.24238521934001028,0.008816686636921065,0.02603353122009987,0.059028220243167125,0.177024852770623,-0.09791297258793384
load_custom_fields,-0.0426642582337604,0.07736240217937336,0.2984723996634896,-0.06742600280941029,-0.1221390952876537,0.0172793804449617,0.0046512044514524864,0.029703189655844182,0.05951375273821596,-0.04814853962154998
load_web_pages,-0.011630627850963016,0.024428925934189938,-0.009495156336890612,0.022544240237896824,-0.06635862902588184,0.00859677497450064,0.015421079770175011,0.05186247477739413,0.0252637950789323,-0.02679977153631197
manage_personal_priorities,-0.009932196320776148,-0.0043406422738948595,-0.011247103811185688,-0.03240380811708811,-0.034088824020092535,-0.0020076755192354116,-0.0035226232857962663,0.09792423513538193,-0.008056085674040325,-0.013081080358136741
move_task_to_list,0.00013035906632944045,0.0038151229309583475,0.04909835702089583,0.006204052136128955,-0.026040361451960117,-0.0003912142414087812,-0.0003745011468691112,-0.008594306231389072,0.0016062192702993143,-0.0101124468249828
post_chat_message,-0.024757790352739454,-0.04482982624488833,-0.07022380392422292,-0.06321891654886776,-0.26047059170442594,0.011599131522652696,0.034993552221718814,0.4738017783693605,-0.05680770869114255,-0.10347437491465489
post_reply,0.15345022484634915,-0.09592258956120789,-0.32658913441262294,0.2950732356072375,0.45300744718538427,-0.019730588337139855,-0.008343350873680048,-0.537482416543361,-0.0330421880987017,-0.3221504574261696
post_slack_message,-0.00952266094417958,-0.004418798881638116,0.003777583209146574,-0.014737370448388338,-0.022244621752164614,0.010316381840095545,-0.0030781802197013715,0.05130552169495851,-0.0032401762474032433,-0.00883687601298317
post_task_comment,-0.02704645278481737,0.14756026802043953,0.23683407649853344,-0.11576763537368966,-0.12166766323845822,0.014785709060155324,-0.006435770695980565,0.07052512549823428,0.13089663766845688,-0.04893454226764335
read_memory,-0.0807053759136856,0.01626541129873411,0.006693343982552126,-0.13615835236598198,-0.20241814089140323,0.009779936047547365,-0.004117686652995972,0.46373727003763326,-0.01845167839193511,-0.07652300823025729
reflect,0.01978273502969938,-0.0009543893116568733,0.0014020616875160515,-0.0060596632507798585,-0.004712276938944729,-0.0002671722506055697,-0.0006063686232957361,-0.004596331987036625,-0.0012480977214747832,-0.001740770182308459
rename_memory,-0.0018841286667717074,-0.0004911892529434525,-0.0007751393183712921,0.0064909765107321465,-0.002425236495245934,-0.00013750378024910938,-0.00031207574042075865,-0.002056572180869002,-0.0006423502232514546,-0.0008959107095509374
retrieve_activity,-0.05964319464626631,-0.01772738782397889,-0.017187874804314482,-0.09642465639844129,-0.12965404612463477,0.02385984562969253,-0.0037809418048972824,0.3389971774898398,-0.024297766344473608,-0.050471751482568966
retrieve_chat_messages,0.00031985242399557284,-0.013843055964859213,-0.0234801377144604,0.06051016697978281,-0.07314601978408346,0.0027183944170232313,0.013830177473309493,0.04091661936773879,-0.018974759017399215,-0.03071150009970881
retrieve_personal_priorities,-0.030359011904275045,-0.01139376002617229,-0.03196433870610259,-0.07559558942360828,-0.07517345234050676,0.00027122816444645194,-0.008620655743668455,0.23319986614124827,-0.019167826623593103,-0.028796359004241965
retrieve_tasks_by_filters,-0.09743341091090449,-0.011640723268463509,-0.0058231564179886995,-0.1576661269751572,-0.24776847425110843,0.04025251734656845,0.002253638717256691,0.5744384862223428,-0.03294638258322227,-0.09606807594757011
search_clickup_help_center,-0.006914165595956883,-0.0007236139297185961,-0.003424108222420936,-0.0028155414491175656,-0.017302445749236502,-0.0010787286291674457,0.001057177681295744,0.033281047226749384,-0.0032053425161919884,-0.007028494269898584
